grid_id,district_name,district_adcode,boundary_share,edge_cell,intersect_area_m2,valid_area_km2,pet_medical_count,pet_retail_count,pet_grooming_count,pet_boarding_count,pet_training_count,pet_core_service_count,pet_service_diversity_count,pet_core_service_density_per_km2
SZ500_0000_0066,宝安区,440306,0.022061,yes,5515.305,0.005515305,0,0,0,0,0,0,0,0.0
SZ500_0000_0067,宝安区,440306,0.272717,yes,68179.153,0.068179153,0,0,0,0,0,0,0,0.0
SZ500_0000_0068,宝安区,440306,0.468373,yes,117093.297,0.11709329700000001,0,0,0,0,0,0,0,0.0
SZ500_0000_0069,宝安区,440306,0.598821,no,149705.179,0.149705179,0,0,0,0,0,0,0,0.0
SZ500_0000_0070,宝安区,440306,0.670072,no,167517.976,0.16751797599999999,0,0,0,0,0,0,0,0.0
SZ500_0000_0071,宝安区,440306,0.603979,no,150994.66,0.15099466,0,0,0,0,0,0,0,0.0
SZ500_0000_0072,宝安区,440306,0.176601,yes,44150.349,0.044150349000000005,0,0,0,0,0,0,0,0.0
SZ500_0001_0062,宝安区,440306,0.021991,yes,5497.694,0.005497694,0,0,0,0,0,0,0,0.0
SZ500_0001_0063,宝安区,440306,0.222817,yes,55704.255,0.055704254999999994,0,0,0,0,0,0,0,0.0
SZ500_0001_0064,宝安区,440306,0.287753,yes,71938.164,0.071938164,0,0,0,0,0,0,0,0.0
SZ500_0001_0065,宝安区,440306,0.617163,no,154290.859,0.154290859,0,0,0,0,0,0,0,0.0
SZ500_0001_0066,宝安区,440306,0.931553,no,232888.358,0.23288835800000002,0,0,0,0,0,0,0,0.0
SZ500_0001_0067,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0001_0068,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0001_0069,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0001_0070,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0001_0071,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0001_0072,宝安区,440306,0.997073,no,249268.327,0.24926832699999998,0,0,0,0,0,0,0,0.0
SZ500_0001_0073,宝安区,440306,0.72368,no,180920.122,0.18092012200000002,0,0,0,0,0,0,0,0.0
SZ500_0001_0074,宝安区,440306,0.273686,yes,68421.567,0.06842156699999999,0,0,0,0,0,0,0,0.0
SZ500_0001_0075,宝安区,440306,0.002634,yes,658.518,0.0006585180000000001,0,0,0,0,0,0,0,0.0
SZ500_0002_0060,宝安区,440306,0.000242,yes,60.38,6.038e-05,0,0,0,0,0,0,0,0.0
SZ500_0002_0061,宝安区,440306,0.302071,yes,75517.649,0.075517649,0,0,0,0,0,0,0,0.0
SZ500_0002_0062,宝安区,440306,0.851008,no,212751.899,0.212751899,0,0,0,0,0,0,0,0.0
SZ500_0002_0063,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0064,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0065,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0066,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0067,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0068,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0069,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0070,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0071,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0072,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0073,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0074,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0002_0075,宝安区,440306,0.821058,no,205264.494,0.20526449400000002,0,0,0,0,0,0,0,0.0
SZ500_0002_0076,宝安区,440306,0.175491,yes,43872.797,0.043872797,0,0,0,0,0,0,0,0.0
SZ500_0003_0058,宝安区,440306,0.128939,yes,32234.831,0.032234831,0,0,0,0,0,0,0,0.0
SZ500_0003_0059,宝安区,440306,0.432933,yes,108233.16,0.10823316000000001,0,0,0,0,0,0,0,0.0
SZ500_0003_0060,宝安区,440306,0.748736,no,187183.96,0.18718395999999998,0,0,0,0,0,0,0,0.0
SZ500_0003_0061,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0003_0062,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0003_0063,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0003_0064,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0003_0065,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
SZ500_0003_0066,宝安区,440306,1.0,no,250000.0,0.25,0,0,0,0,0,0,0,0.0
