grid_id,district_name,edge_cell,grid_emergence_type,emergence_index,suppression_index,is_suppressed_frontier,has_positive_rule,has_primary_positive_rule,pred_is_suppressed_frontier_v6,pred_has_positive_rule_v6,pred_has_primary_positive_rule_v6,pred_suppression_index_v6,pet_ecology_norm,liminal_host_norm,liminal_potential_norm,rule_liminal_exposure_norm,positive_rule_norm,topology_norm,rule_silence_norm,restrictive_norm,valid_area_km2,boundary_share,road_density_m_per_km2,ped_path_density_m_per_km2,public_space_share,building_coverage_share,building_count_per_km2,primary_rule_count,primary_positive_rule_count,primary_restrictive_rule_count,shopping_mall_host_count,hotel_host_count,restaurant_host_count,residential_property_host_count,park_or_recreation_host_count,primary_source_support_class,public_space_share_raw
SZ500_0000_0066,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.00016387890220101052,1.403333959999551e-06,0.000880669525019242,2.3949087798735835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005515305,0.022061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0067,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0001808919880370091,3.9029417281459866e-07,0.001520942370695253,-2.626436410060884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068179153,0.272717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0068,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.00021055565525078258,1.22470488596302e-07,0.002331170080139672,-4.863515813001429e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117093297,0.468373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0069,宝安区,no,low_pet_city_signal,0.0,0.0,0,0,0,1.724450222689788e-06,5.798169933080339e-09,0.0001939922412557335,-4.761869410081776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149705179,0.598821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0070,宝安区,no,low_pet_city_signal,0.0,0.0,0,0,0,1.7633809541402651e-06,1.0131550958370644e-08,0.00023756475009822797,-5.576113149141637e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675179759999999,0.670072,0.0,0.0,0.000769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.000769
SZ500_0000_0071,宝安区,no,low_pet_city_signal,0.0,0.0,0,0,0,3.5688904022369024e-06,1.4995452840258177e-08,0.0002224869221049216,-4.820844108398281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15099466,0.603979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0000_0072,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0007350238977299041,4.6961609673614015e-07,0.0012593610945439587,-1.5274773669346486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044150349,0.176601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0001_0062,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.00016387537359073312,3.8778721527746525e-07,0.0008404077781354972,2.4029377656276107e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005497694,0.021991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0001_0063,宝安区,yes,low_pet_city_signal,0.0,0.0,0,0,0,0.0007038689950025808,1.2377548533169582e-07,0.001354198074363222,-2.0558960659333714e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557042549999999,0.222817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_primary_rule_signal,0.0
SZ500_0001_0064,宝安区,yes,low_pet_city_signal,0.0712629340441044,0.0,0,0,0,7.122085937123089e-06,4.81087243008825e-08,0.0017032150293365019,-1.3387151963736854e-05,0.0,0.0,0.3959051891339135,0.0,0.0,0.0,0.0,0.0,0.071938164,0.287753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no_primary_rule_signal,0.0
