grid_id,district_name,edge_cell,intersect_area_m2,boundary_share,valid_area_km2,road_length_m,pedestrian_path_length_m,public_space_area_m2,building_footprint_area_m2,building_count,road_density_m_per_km2,ped_path_density_m_per_km2,public_space_share,building_coverage_share,building_count_per_km2,osm_3d_height_available,osm_3d_levels_available
SZ500_0000_0066,宝安区,yes,5515.305,0.022061,0.005515305,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0000_0067,宝安区,yes,68179.153,0.272717,0.068179153,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0000_0068,宝安区,yes,117093.297,0.468373,0.11709329700000001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0000_0069,宝安区,no,149705.179,0.598821,0.149705179,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0000_0070,宝安区,no,167517.976,0.670072,0.16751797599999999,0.0,0.0,128.809,0.0,0,0.0,0.0,0.000769,0.0,0.0,no,no
SZ500_0000_0071,宝安区,no,150994.66,0.603979,0.15099466,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0000_0072,宝安区,yes,44150.349,0.176601,0.044150349000000005,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0062,宝安区,yes,5497.694,0.021991,0.005497694,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0063,宝安区,yes,55704.255,0.222817,0.055704254999999994,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0064,宝安区,yes,71938.164,0.287753,0.071938164,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0065,宝安区,no,154290.859,0.617163,0.154290859,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0066,宝安区,no,232888.358,0.931553,0.23288835800000002,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
SZ500_0001_0067,宝安区,no,250000.0,1.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,no,no
