grid_id,silent_agents,simulated_adopters,mean_adoption_propensity,mean_signal_at_adoption,simulated_adoption_share
SZ500_0001_0064,1,0,0.1418510649004877,0.0,0.0
SZ500_0001_0068,1,0,0.1418510649004877,0.0,0.0
SZ500_0002_0064,1,0,0.1418510649004877,0.0,0.0
SZ500_0002_0069,1,0,0.2788848219771369,0.0,0.0
SZ500_0002_0070,1,0,0.1418510649004877,0.0,0.0
SZ500_0002_0073,2,0,0.2788848219771369,0.0,0.0
SZ500_0002_0074,3,0,0.2788848219771369,0.0,0.0
SZ500_0003_0067,1,0,0.1418510649004877,0.0,0.0
SZ500_0003_0068,1,0,0.1750862681640398,0.0,0.0
SZ500_0003_0070,6,0,0.17748271273032593,0.0,0.0
SZ500_0003_0071,1,0,0.2788848219771369,0.0,0.0
SZ500_0003_0072,1,0,0.1418510649004877,0.0,0.0
SZ500_0003_0074,6,0,0.1971789162654616,0.0,0.0
SZ500_0004_0065,35,3,0.1878955948443432,0.0249334369009471,0.08571428571428572
SZ500_0004_0066,2,0,0.2103679434388123,0.0,0.0
SZ500_0004_0067,5,0,0.21317736469305498,0.0,0.0
SZ500_0004_0068,1,0,0.1418510649004877,0.0,0.0
SZ500_0004_0069,28,10,0.18890621805057387,0.10395288310640387,0.35714285714285715
SZ500_0004_0070,20,2,0.178476433359151,0.029093783513072447,0.1
SZ500_0004_0071,8,0,0.166217733789637,0.0,0.0
SZ500_0004_0072,9,0,0.18676721708094388,0.0,0.0
SZ500_0004_0075,2,0,0.19889320349467432,0.0,0.0
SZ500_0004_0076,5,0,0.1418510649004877,0.0,0.0
SZ500_0005_0062,1,0,0.1418510649004877,0.0,0.0
SZ500_0005_0063,28,13,0.18258170230898968,0.1364607336255925,0.4642857142857143
SZ500_0005_0064,29,19,0.19596718930859644,0.19058316711643472,0.6551724137931034
SZ500_0005_0065,14,6,0.1892749374990368,0.1302856528199183,0.42857142857142855
SZ500_0005_0066,10,6,0.1970075499080908,0.17453405830662966,0.6
SZ500_0005_0067,9,1,0.16191269642442963,0.032321121908635134,0.1111111111111111
SZ500_0005_0068,50,10,0.17675758315508314,0.058178348643233735,0.2
SZ500_0005_0069,60,41,0.2073619687355635,0.1967116439125678,0.6833333333333333
SZ500_0005_0070,17,6,0.19263232759072682,0.10266998743561315,0.35294117647058826
SZ500_0005_0071,13,12,0.21648097929263027,0.2685139358563533,0.9230769230769231
SZ500_0005_0072,4,1,0.17868093501346904,0.07272252429442902,0.25
SZ500_0005_0073,39,20,0.19353834484046326,0.14917440880908522,0.5128205128205128
SZ500_0005_0074,61,40,0.20249460264938238,0.19074760470669913,0.6557377049180327
SZ500_0005_0075,2,0,0.1418510649004877,0.0,0.0
SZ500_0005_0076,22,13,0.1911362087316798,0.17188960287774135,0.5909090909090909
SZ500_0005_0077,44,35,0.2084288648359285,0.2313898500277288,0.7954545454545454
SZ500_0005_0078,2,1,0.19889320349467432,0.1454450485888581,0.5
SZ500_0006_0062,1,1,0.2227001388253088,0.2908900971777162,1.0
SZ500_0006_0063,20,12,0.19316974341297177,0.1765005222169437,0.6
SZ500_0006_0064,32,19,0.20024120356321026,0.17271599519926897,0.59375
SZ500_0006_0065,49,33,0.19901351903463677,0.19590557565029865,0.673469387755102
SZ500_0006_0066,57,27,0.18889410077633775,0.13779004603154976,0.47368421052631576
SZ500_0006_0067,52,29,0.1952487723282952,0.16222716957988018,0.5576923076923077
SZ500_0006_0068,26,6,0.17201303693590678,0.06712848396408835,0.23076923076923078
SZ500_0006_0069,48,31,0.19685170754991177,0.1878668672827534,0.6458333333333334
SZ500_0006_0070,49,33,0.19833563240916496,0.19590557565029865,0.673469387755102
SZ500_0006_0071,59,38,0.19730320098056423,0.18735294394496974,0.6440677966101694
SZ500_0006_0072,37,22,0.19621122839213442,0.17296167940296636,0.5945945945945946
SZ500_0006_0073,3,1,0.1909575583844628,0.0969633657259054,0.3333333333333333
SZ500_0006_0074,40,28,0.2009380568926289,0.20362306802440133,0.7
SZ500_0006_0075,41,32,0.20738462527572996,0.227036173406998,0.7804878048780488
SZ500_0006_0076,65,43,0.20375875514927436,0.18988217311400982,0.6615384615384615
SZ500_0006_0077,33,13,0.18254596628513498,0.1083730017840264,0.3939393939393939
SZ500_0006_0078,24,20,0.21199489344313463,0.24240841431476345,0.8333333333333334
SZ500_0006_0079,4,0,0.1418510649004877,0.0,0.0
SZ500_0007_0062,13,8,0.19160434116191608,0.17900929057090226,0.6153846153846154
SZ500_0007_0063,14,4,0.17444657266859434,0.08311145633649034,0.2857142857142857
SZ500_0007_0064,38,19,0.18786553078033108,0.14274423010941809,0.5
SZ500_0007_0065,71,39,0.193687324710198,0.15600210931663452,0.5492957746478874
SZ500_0007_0066,109,72,0.20220262410184126,0.19026444763631306,0.6605504587155964
SZ500_0007_0067,92,61,0.2018482545176915,0.1933002739787714,0.6630434782608695
SZ500_0007_0068,14,7,0.18227560186289823,0.14544504858885807,0.5
SZ500_0007_0069,16,5,0.1671164005019943,0.09090315536803631,0.3125
SZ500_0007_0070,5,1,0.15802087968545192,0.05817801943554324,0.2
SZ500_0007_0071,96,80,0.21213037343564645,0.24133934033331847,0.8333333333333334
SZ500_0007_0072,44,24,0.19048263294087453,0.15866732573329975,0.5454545454545454
SZ500_0007_0073,1,0,0.1418510649004877,0.0,0.0
SZ500_0007_0074,18,12,0.199443247879652,0.1939267314518108,0.6666666666666666
SZ500_0007_0075,9,2,0.16351032613528707,0.06464224381727027,0.2222222222222222
SZ500_0007_0076,46,31,0.2158995968864488,0.17097126831080706,0.6739130434782609
SZ500_0007_0077,8,5,0.1923817361035009,0.18180631073607262,0.625
SZ500_0007_0078,46,33,0.20685292900438643,0.20953701054501986,0.717391304347826
SZ500_0007_0079,3,1,0.1798791572966121,0.09696336572590536,0.3333333333333333
SZ500_0008_0058,1,0,0.1418510649004877,0.0,0.0
SZ500_0008_0061,5,0,0.1418510649004877,0.0,0.0
SZ500_0008_0062,13,4,0.17695391941998714,0.08950464528545113,0.3076923076923077
SZ500_0008_0063,36,18,0.19399148850320108,0.14653752853903249,0.5
SZ500_0008_0064,39,26,0.20342010980862407,0.19392673145181075,0.6666666666666666
SZ500_0008_0065,28,15,0.1922848980595459,0.15583398063091938,0.5357142857142857
SZ500_0008_0066,96,86,0.2163838975361313,0.25992965138824115,0.8958333333333334
SZ500_0008_0067,31,20,0.20258858440386962,0.18767103043723626,0.6451612903225806
SZ500_0008_0068,39,16,0.18013302393583258,0.11933952704726816,0.41025641025641024
SZ500_0008_0069,39,20,0.18757305194700521,0.14917440880908522,0.5128205128205128
SZ500_0008_0070,7,2,0.16495080030757947,0.08311145633649034,0.2857142857142857
SZ500_0008_0071,17,14,0.21038766714819637,0.2395565506169427,0.8235294117647058
SZ500_0008_0072,4,2,0.18227560186289826,0.1454450485888581,0.5
SZ500_0008_0073,16,9,0.19229594934621447,0.15721123577379537,0.5625
SZ500_0008_0074,23,13,0.19389388461170584,0.1599539200474603,0.5652173913043478
SZ500_0008_0075,7,0,0.14659895108099513,0.0,0.0
SZ500_0008_0076,18,11,0.1999194041291275,0.17995113039784208,0.6111111111111112
SZ500_0008_0077,28,17,0.1953185415576624,0.17801646179383765,0.6071428571428571
SZ500_0008_0078,36,25,0.19984265530736636,0.20200701192896953,0.6944444444444444
SZ500_0008_0079,1,0,0.1418510649004877,0.0,0.0
SZ500_0008_0080,22,21,0.2190251809196351,0.2776678200332745,0.9545454545454546
SZ500_0008_0081,38,34,0.216542864896785,0.26130506795391134,0.8947368421052632
SZ500_0008_0082,11,0,0.18897194188344033,0.0,0.0
SZ500_0008_0083,13,6,0.1842791302909516,0.1342569679281767,0.46153846153846156
SZ500_0008_0084,1,0,0.1418510649004877,0.0,0.0
SZ500_0009_0060,3,0,0.1418510649004877,0.0,0.0
SZ500_0009_0061,70,40,0.19583295473607074,0.16475675406985613,0.5714285714285714
SZ500_0009_0062,161,100,0.1992480615589048,0.17940215846791416,0.6211180124223602
SZ500_0009_0063,45,21,0.18548911331225792,0.13574871201626756,0.4666666666666667
SZ500_0009_0064,54,27,0.19273853622364612,0.14544504858885807,0.5
SZ500_0009_0065,39,27,0.20038005479179094,0.20138545189226503,0.6923076923076923
SZ500_0009_0066,51,36,0.20283102334901462,0.20533418624309382,0.7058823529411765
SZ500_0009_0067,7,1,0.16617520209194506,0.04717419648342797,0.14285714285714285
SZ500_0009_0068,109,76,0.21806889828441792,0.16892594225350938,0.6972477064220184
SZ500_0009_0069,19,5,0.18182721659248258,0.07861998758394002,0.2631578947368421
SZ500_0009_0070,32,9,0.17186006765574566,0.08181283983123266,0.28125
SZ500_0009_0071,50,30,0.19368402958173558,0.17453405830662966,0.6
SZ500_0009_0072,38,14,0.18125828255434476,0.10717003580231649,0.3684210526315789
SZ500_0009_0073,39,21,0.18964610512456473,0.15663312924953948,0.5384615384615384
SZ500_0009_0074,25,17,0.20809275762118243,0.19116794903160053,0.68
