grid_id,topological_degree,weighted_topological_degree,pet_rule_pagerank,district_name,edge_cell,intersect_area_m2,valid_area_km2,pet_service_exposure_500m,pet_service_exposure_1000m,nearest_pet_service_m,a_medical_exposure_500m,a_retail_exposure_500m,a_grooming_exposure_500m,a_boarding_exposure_500m,a_training_exposure_500m,pet_service_count_2025,pet_service_weight_sum_2025,pet_medical_count_2025,pet_retail_count_2025,pet_grooming_count_2025,pet_boarding_count_2025,pet_training_count_2025,pet_service_density_2025_per_km2,pet_service_diversity_entropy_2025,explicit_rule_count,positive_rule_count,restrictive_rule_count,mean_access_semantic_score,pet_service_high,rule_seed_present,pet_rule_ecology_class,topology_ecology_class
SZ500_0000_0066,4,4.0,7.427326624833452e-05,宝安区,yes,5515.305,0.005515305,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0000_0067,5,5.0,8.980803967573464e-05,宝安区,yes,68179.153,0.068179153,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0000_0068,5,5.0,8.777220142221713e-05,宝安区,yes,117093.297,0.11709329700000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0000_0069,5,5.0,8.777924115776407e-05,宝安区,no,149705.179,0.149705179,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0000_0070,5,5.0,8.777220142221713e-05,宝安区,no,167517.976,0.16751797599999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0000_0071,5,5.0,8.980803967573464e-05,宝安区,no,150994.66,0.15099466,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0000_0072,4,4.0,7.452271645560553e-05,宝安区,yes,44150.349,0.044150349000000005,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0001_0062,4,4.0,7.454545747473944e-05,宝安区,yes,5497.694,0.005497694,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0001_0063,5,5.0,8.974676724330328e-05,宝安区,yes,55704.255,0.055704254999999994,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
SZ500_0001_0064,5,5.0,8.629902870528493e-05,宝安区,yes,71938.164,0.071938164,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,low_pet_ecology_rule_silent,low_network_pet_rule_signal
