grid_id,district_name,baseline_mismatch_type,service_score,affordance_morphology_score
SZ500_0000_0066,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0000_0067,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0000_0068,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0000_0069,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0000_0070,宝安区,low_service_low_morph_affordance,0.0,0.55581267350362
SZ500_0000_0071,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0000_0072,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0062,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0063,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0064,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0065,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0066,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0067,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0068,宝安区,low_service_low_morph_affordance,0.0,0.4959896480015577
SZ500_0001_0069,宝安区,low_service_low_morph_affordance,0.0,0.5519335235605781
SZ500_0001_0070,宝安区,low_service_low_morph_affordance,0.0,0.5549459114522219
SZ500_0001_0071,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0001_0072,宝安区,low_service_low_morph_affordance,0.0,0.5535899585842865
SZ500_0001_0073,宝安区,low_service_low_morph_affordance,0.0,0.5233839447613426
SZ500_0001_0074,宝安区,low_service_low_morph_affordance,0.0,0.4482023734213927
SZ500_0001_0075,宝安区,low_service_low_morph_affordance,0.0,0.1431814140335176
SZ500_0002_0060,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0002_0061,宝安区,low_service_low_morph_affordance,0.0,0.5550781011205149
SZ500_0002_0062,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0002_0063,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0002_0064,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0002_0065,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0002_0066,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0002_0067,宝安区,low_service_low_morph_affordance,0.0,0.5304997241942511
SZ500_0002_0068,宝安区,low_service_low_morph_affordance,0.0,0.4561213626353155
SZ500_0002_0069,宝安区,low_service_low_morph_affordance,0.0,0.4982647456951554
SZ500_0002_0070,宝安区,low_service_low_morph_affordance,0.0,0.4585829911272363
SZ500_0002_0071,宝安区,low_service_low_morph_affordance,0.0,0.4086818139411095
SZ500_0002_0072,宝安区,low_service_low_morph_affordance,0.0,0.5204015854476611
SZ500_0002_0073,宝安区,low_service_low_morph_affordance,0.0,0.6100730272482435
SZ500_0002_0074,宝安区,low_service_high_morph_affordance,0.0,0.6580081719628924
SZ500_0002_0075,宝安区,low_service_low_morph_affordance,0.0,0.5515767989293189
SZ500_0002_0076,宝安区,low_service_low_morph_affordance,0.0,0.4829308398963368
SZ500_0003_0058,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0003_0059,宝安区,low_service_low_morph_affordance,0.0,0.5469123500136682
SZ500_0003_0060,宝安区,low_service_low_morph_affordance,0.0,0.5262514218976011
SZ500_0003_0061,宝安区,low_service_low_morph_affordance,0.0,0.5150275766022255
SZ500_0003_0062,宝安区,low_service_low_morph_affordance,0.0,0.5476472797498915
SZ500_0003_0063,宝安区,low_service_low_morph_affordance,0.0,0.5822017038364684
SZ500_0003_0064,宝安区,low_service_low_morph_affordance,0.0,0.5586411236494045
SZ500_0003_0065,宝安区,low_service_low_morph_affordance,0.0,0.5354655912066019
SZ500_0003_0066,宝安区,low_service_low_morph_affordance,0.0,0.4160615766274579
SZ500_0003_0067,宝安区,low_service_low_morph_affordance,0.0,0.2872918449714243
SZ500_0003_0068,宝安区,low_service_low_morph_affordance,0.0,0.1964602082770783
SZ500_0003_0069,宝安区,low_service_low_morph_affordance,0.0,0.1751930587420068
SZ500_0003_0070,宝安区,low_service_low_morph_affordance,0.0,0.4736551134631694
SZ500_0003_0071,宝安区,low_service_low_morph_affordance,0.0,0.5065560409709554
SZ500_0003_0072,宝安区,low_service_low_morph_affordance,0.0,0.505387764189209
SZ500_0003_0073,宝安区,low_service_low_morph_affordance,0.0,0.630417647565909
SZ500_0003_0074,宝安区,low_service_high_morph_affordance,0.0,0.772330057633123
SZ500_0003_0075,宝安区,low_service_low_morph_affordance,0.0,0.6074157153202744
SZ500_0003_0076,宝安区,low_service_low_morph_affordance,0.0,0.4300383082835795
SZ500_0003_0077,宝安区,low_service_low_morph_affordance,0.0,0.4796950912819088
SZ500_0004_0055,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0004_0056,宝安区,low_service_low_morph_affordance,0.0,0.5557533110742777
SZ500_0004_0057,宝安区,low_service_low_morph_affordance,0.0,0.5549083927098899
SZ500_0004_0058,宝安区,low_service_low_morph_affordance,0.0,0.5286559804743242
SZ500_0004_0059,宝安区,low_service_low_morph_affordance,0.0,0.5330247278074073
SZ500_0004_0060,宝安区,low_service_low_morph_affordance,0.0,0.543844706843101
SZ500_0004_0061,宝安区,low_service_low_morph_affordance,0.0,0.5428257520368984
SZ500_0004_0062,宝安区,low_service_low_morph_affordance,0.0,0.5160895107710761
SZ500_0004_0063,宝安区,low_service_low_morph_affordance,0.0,0.4944999539822167
SZ500_0004_0064,宝安区,low_service_low_morph_affordance,0.0,0.5282894088026348
SZ500_0004_0065,宝安区,low_service_low_morph_affordance,0.0,0.4354548583341736
SZ500_0004_0066,宝安区,low_service_low_morph_affordance,0.0,0.3790323498790592
SZ500_0004_0067,宝安区,low_service_low_morph_affordance,0.0,0.1629188848461668
SZ500_0004_0068,宝安区,low_service_low_morph_affordance,0.0,0.1797135793402562
