focal_grid_id,local_grid_cells,pet_service_points,host_candidates,priority_hosts,silent_hosts,verification_queue_candidates,visible_rule_records,positive_rule_grid_count,mean_pet_ecology_norm,mean_liminal_host_norm,mean_rule_visibility_norm,mean_suppression_index,host_type_shopping_mall,host_type_hotel,host_type_residential_property,host_type_park_or_recreation,panel,case_id,district_name,district_en,evidence_role,extent_minx,extent_miny,extent_maxx,extent_maxy
SZ500_0030_0037,45,49,975,463,435,81,3,1,0.61351595639639,0.5079365079365079,0.01686527057307051,0.43358826247124593,252,251,434,38,b,baoan_high_host_low_rule,宝安区,Baoan,liminal substrate,795949.9999999994,2496638.888888889,799549.9999999994,2498861.111111111
SZ500_0081_0048,45,33,430,150,272,11,0,0,0.5086634862316486,0.33968253968253964,0.0,0.35868297698826085,21,116,273,20,c,longgang_suppressed_frontier,龙岗区,Longgang,diagnostic frontier,821450.0,2502138.888888889,825050.0,2504361.111111111
SZ500_0064_0034,35,12,821,287,64,197,20,2,0.3444035262209762,0.3783673469387755,0.07480879419929065,0.24091868343497483,307,206,264,44,d,futian_visible_rule_core,福田区,Futian,traceable rule evidence,813299.9999999997,2495354.938271605,816199.9999999997,2497145.061728395
SZ500_0044_0032,45,23,789,424,67,203,11,3,0.3330698036579506,0.3396825396825397,0.061309715017514956,0.2038828484122779,294,205,251,39,e,nanshan_mixed_contrast,南山区,Nanshan,mixed urban core,802950.0000000001,2494138.8888888885,806550.0000000001,2496361.1111111105
SZ500_0060_0047,45,33,468,270,147,30,0,0,0.3442491284373675,0.2761904761904762,0.0,0.24158468210862322,146,95,206,21,f,longhua_emerging_pressure,龙华区,Longhua,emerging liminality,810949.9999999999,2501638.888888889,814549.9999999999,2503861.111111111
SZ500_0036_0079,45,15,185,40,71,22,1,1,0.24750043850609313,0.073015873015873,0.028856545378508652,0.12289676999119724,10,38,119,18,g,guangming_transitional_edge,光明区,Guangming,peripheral transition,798950.0000000006,2517638.8888888885,802550.0000000006,2519861.1111111105
SZ500_0074_0034,45,41,1576,728,46,86,8,4,0.5130930305340861,0.6042857142857143,0.1793340850221986,0.2551391102293688,255,663,602,56,h,luohu_compact_rule_visibility,罗湖区,Luohu,compact rule trace,817949.9999999999,2495138.888888889,821549.9999999999,2497361.111111111
SZ500_0100_0038,44,10,325,77,108,103,3,2,0.1585933474399558,0.1396103896103896,0.03927897223292121,0.11351129503414424,35,58,211,21,i,yantian_public_space_edge,盐田区,Yantian,public-space edge,830950.0000000003,2497138.888888889,834550.0000000003,2499361.111111111
SZ500_0120_0066,45,19,307,43,201,107,0,1,0.288619150812479,0.12063492063492064,0.03354609114417228,0.18767629127289986,38,92,166,11,j,pingshan_ecology_silent_edge,坪山区,Pingshan,silent ecology edge,840950.0000000005,2511138.8888888885,844550.0000000005,2513361.1111111105
SZ500_0030_0041,45,55,1176,479,366,34,1,1,0.6674697968764113,0.5365079365079365,0.04917360197668387,0.4652698320089093,68,302,759,47,k,baoan_verification_pressure,宝安区,Baoan,verification pressure,795950.0000000006,2498638.888888889,799550.0000000006,2500861.111111111
SZ500_0063_0051,45,40,634,323,259,22,0,0,0.5489291720800674,0.3682539682539682,0.0,0.38906441683364,32,171,415,16,l,longgang_service_rule_gap,龙岗区,Longgang,service-rule gap,812449.9999999997,2503638.8888888885,816049.9999999997,2505861.1111111105
SZ500_0048_0032,45,6,477,111,63,6,5,3,0.21010926827271115,0.2476190476190476,0.061309715017514956,0.1481424968210918,160,96,165,56,m,nanshan_restrictive_contact_zone,南山区,Nanshan,restrictive contact,804950.0000000006,2494138.888888889,808550.0000000006,2496361.111111111
