year,source_file,source_category,encoding,rows_scanned,candidate_rows,exclusion_rows,read_status,read_error
2014,深圳市2014/csv/2014交通设施服务.csv,交通设施服务,utf-8-sig,11832,0,0,ok,
2014,深圳市2014/csv/2014住宿服务.csv,住宿服务,utf-8-sig,4117,0,0,ok,
2014,深圳市2014/csv/2014体育休闲服务.csv,体育休闲服务,utf-8-sig,4668,0,2,ok,
2014,深圳市2014/csv/2014公共设施.csv,公共设施,utf-8-sig,2553,0,0,ok,
2014,深圳市2014/csv/2014公司企业.csv,公司企业,utf-8-sig,37584,11,1,ok,
2014,深圳市2014/csv/2014医疗保健服务.csv,医疗保健服务,utf-8-sig,8700,192,0,ok,
2014,深圳市2014/csv/2014商务住宅.csv,商务住宅,utf-8-sig,16356,0,1,ok,
2014,深圳市2014/csv/2014地名地址信息.csv,地名地址信息,utf-8-sig,3114,0,0,ok,
2014,深圳市2014/csv/2014摩托车服务.csv,摩托车服务,utf-8-sig,34,0,0,ok,
2014,深圳市2014/csv/2014政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,6788,0,0,ok,
2014,深圳市2014/csv/2014汽车服务.csv,汽车服务,utf-8-sig,3685,0,0,ok,
2014,深圳市2014/csv/2014汽车维修.csv,汽车维修,utf-8-sig,2040,0,0,ok,
2014,深圳市2014/csv/2014汽车销售.csv,汽车销售,utf-8-sig,673,0,0,ok,
2014,深圳市2014/csv/2014生活服务.csv,生活服务,utf-8-sig,25078,1,1,ok,
2014,深圳市2014/csv/2014科教文化服务.csv,科教文化服务,utf-8-sig,6727,1,0,ok,
2014,深圳市2014/csv/2014购物服务.csv,购物服务,utf-8-sig,47313,791,1,ok,
2014,深圳市2014/csv/2014道路附属设施.csv,道路附属设施,utf-8-sig,166,0,0,ok,
2014,深圳市2014/csv/2014金融保险服务.csv,金融保险服务,utf-8-sig,8679,0,0,ok,
2014,深圳市2014/csv/2014风景名胜.csv,风景名胜,utf-8-sig,1351,7,0,ok,
2014,深圳市2014/csv/2014餐饮服务.csv,餐饮服务,utf-8-sig,35739,0,48,ok,
2015,深圳市2015/csv/深圳市2015事件活动.csv,事件活动,utf-8-sig,0,0,0,ok,
2015,深圳市2015/csv/深圳市2015交通设施服务.csv,交通设施服务,utf-8-sig,33028,0,0,ok,
2015,深圳市2015/csv/深圳市2015住宿服务.csv,住宿服务,utf-8-sig,10957,0,1,ok,
2015,深圳市2015/csv/深圳市2015体育休闲服务.csv,体育休闲服务,utf-8-sig,13809,0,9,ok,
2015,深圳市2015/csv/深圳市2015公共设施a.csv,公共设施a,utf-8-sig,3955,0,0,ok,
2015,深圳市2015/csv/深圳市2015公司企业a.csv,公司企业a,utf-8-sig,106351,23,10,ok,
2015,深圳市2015/csv/深圳市2015医疗保健服务.csv,医疗保健服务,utf-8-sig,19048,317,0,ok,
2015,深圳市2015/csv/深圳市2015商务住宅.csv,商务住宅,utf-8-sig,40981,0,1,ok,
2015,深圳市2015/csv/深圳市2015地名地址信息a.csv,地名地址信息a,utf-8-sig,2750,0,0,ok,
2015,深圳市2015/csv/深圳市2015室内设施.csv,室内设施,utf-8-sig,0,0,0,ok,
2015,深圳市2015/csv/深圳市2015摩托车服务.csv,摩托车服务,utf-8-sig,172,0,0,ok,
2015,深圳市2015/csv/深圳市2015政府机构及社会团体.csv,政府机构及社会团体,utf-8-sig,10558,1,0,ok,
2015,深圳市2015/csv/深圳市2015汽车服务.csv,汽车服务,utf-8-sig,10328,0,0,ok,
2015,深圳市2015/csv/深圳市2015汽车维修.csv,汽车维修,utf-8-sig,3783,0,0,ok,
2015,深圳市2015/csv/深圳市2015汽车销售.csv,汽车销售,utf-8-sig,1363,0,0,ok,
2015,深圳市2015/csv/深圳市2015生活服务.csv,生活服务,utf-8-sig,87456,3,11,ok,
2015,深圳市2015/csv/深圳市2015科教文化服务.csv,科教文化服务,utf-8-sig,18316,5,1,ok,
2015,深圳市2015/csv/深圳市2015购物服务.csv,购物服务,utf-8-sig,108473,2440,16,ok,
2015,深圳市2015/csv/深圳市2015通行设施.csv,通行设施,utf-8-sig,11,0,0,ok,
2015,深圳市2015/csv/深圳市2015道路附属设施.csv,道路附属设施,utf-8-sig,161,0,0,ok,
2015,深圳市2015/csv/深圳市2015金融保险服务.csv,金融保险服务,utf-8-sig,14271,0,0,ok,
2015,深圳市2015/csv/深圳市2015风景名胜.csv,风景名胜,utf-8-sig,2805,28,2,ok,
