service_quantile,morph_quantile,high_service_high_morph,high_service_low_morph,low_service_high_morph,low_service_low_morph
0.6,0.6,48,703,3572,4726
0.6,0.7,24,727,2691,5607
0.6,0.75,22,729,2309,5989
0.6,0.8,22,729,1788,6510
0.6,0.9,12,739,893,7405
0.7,0.6,33,528,3587,4901
0.7,0.7,13,548,2702,5786
0.7,0.75,12,549,2319,6169
0.7,0.8,12,549,1798,6690
0.7,0.9,5,556,900,7588
0.75,0.6,25,440,3595,4989
0.75,0.7,8,457,2707,5877
0.75,0.75,7,458,2324,6260
0.75,0.8,7,458,1803,6781
0.75,0.9,2,463,903,7681
0.8,0.6,20,357,3600,5072
0.8,0.7,6,371,2709,5963
0.8,0.75,5,372,2326,6346
0.8,0.8,5,372,1805,6867
0.8,0.9,0,377,905,7767
0.9,0.6,12,175,3608,5254
0.9,0.7,4,183,2711,6151
0.9,0.75,4,183,2327,6535
0.9,0.8,4,183,1806,7056
0.9,0.9,0,187,905,7957
