year,category,relative_path,encoding,column_count,columns,chosen_lon_field,chosen_lat_field,coordinate_system_guess,coordinate_note,sample_rows_scanned,pet_keyword_hits_in_sample,first_pet_keyword_hit,schema_signature_id
2014,交通设施服务,深圳市2014/csv/2014交通设施服务.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,5000,0,,eef0abba2247
2014,住宿服务,深圳市2014/csv/2014住宿服务.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,4117,0,,eef0abba2247
2014,体育休闲服务,深圳市2014/csv/2014体育休闲服务.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,4668,4,夜猫 | 中环二路向东１４０米 |  | 广东省 | 深圳市 | 龙华区 | 440309 | 114.052195,eef0abba2247
2014,公共设施,深圳市2014/csv/2014公共设施.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,2553,0,,eef0abba2247
2014,公司企业,深圳市2014/csv/2014公司企业.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,5000,3,深圳市特种犬护卫保安服务公司 |  | 0755-28079195|29231656 | 广东省 | 深圳市 | 龙华区 | 440309 | 114.035319,eef0abba2247
2014,医疗保健服务,深圳市2014/csv/2014医疗保健服务.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,5000,111,旺旺动物医院（工业路） | 工业西路１７７号天龙大厦 | 0755-28106976 | 广东省 | 深圳市 | 龙华区 | 440309 | 114.013707,eef0abba2247
2014,商务住宅,深圳市2014/csv/2014商务住宅.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,5000,1,深圳中电熊猫员工宿舍 |  |  | 广东省 | 深圳市 | 宝安区 | 440306 | 113.811992,eef0abba2247
2014,地名地址信息,深圳市2014/csv/2014地名地址信息.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,3114,2,猫山 |  |  | 广东省 | 深圳市 | 宝安区 | 440306 | 113.926179,eef0abba2247
2014,摩托车服务,深圳市2014/csv/2014摩托车服务.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,34,0,,eef0abba2247
2014,政府机构及社会团体,深圳市2014/csv/2014政府机构及社会团体.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,5000,5,南山区沙河街道办事处养犬登记点 | 购物中心商业街１－２２ |  | 广东省 | 深圳市 | 南山区 | 440305 | 113.982845,eef0abba2247
2014,汽车服务,深圳市2014/csv/2014汽车服务.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,3685,0,,eef0abba2247
2014,汽车维修,深圳市2014/csv/2014汽车维修.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,2040,0,,eef0abba2247
2014,汽车销售,深圳市2014/csv/2014汽车销售.csv,utf-8-sig,14,NAME|ADDRESS|TELEPHONE|PROVINCE|CITY|COUNTY|CODE|LON|LAT|TYPECODE|BASETYPE|SUBTYPE|CATEGORY|geometry,LON,LAT,legacy_or_unknown,prefer legacy_or_unknown pair after bounds validation,673,0,,eef0abba2247
