variable,n,mean,sd,min,p05,median,p95,max,nonzero_n
emergence_index_v51,9049,0.1728194301678765,0.19429979927475324,0.0,0.004655574586623108,0.1267968250639558,0.705028683318079,1.0,8633
suppression_index_v51,9049,0.08481970821152184,0.18976845861256558,0.0,0.0,0.0,0.5910845998747958,0.8200000000000001,2409
readiness_deficit_index_v51,9049,0.0025277898900064773,0.010915335851708435,0.0,0.0,0.0,0.02175006816983436,0.1402198637099971,597
pet_ecology_norm,9049,0.11982341941681675,0.2751178336134751,0.0,0.0,0.0,0.9999494546467392,1.0,1905
liminal_host_norm,9049,0.07936946466065706,0.2442374119821904,0.0,0.0,0.0,1.0,1.0,1181
liminal_potential_norm,9049,0.33880261862142375,0.36021223385214174,0.0,0.0,0.427283912050691,0.9999262392910658,1.0,4604
rule_liminal_exposure_norm_v51,9049,0.009151191926938345,0.07087481879429285,0.0,0.0,0.0,0.0,1.0,317
positive_rule_norm_v51,9049,0.008516748842610122,0.0751123954614645,0.0,0.0,0.0,0.0,1.0,306
topology_norm,9049,0.574435580604259,0.20010593295095114,0.0,4.653307295040397e-05,0.548047307390199,0.9998354500755933,1.0,8596
rule_silence_norm,9049,0.12112279015008322,0.27383875369990995,0.0,0.0,0.0,0.9972216297575747,1.0,2349
explicit_rule_gap_norm_v51,9049,0.09430130374529716,0.23785017166199227,0.0,0.0,0.0,0.7810668293237466,1.0,1911
pet_service_count_2025,9049,0.21018897115703392,0.750642266762427,0.0,0.0,0.0,2.0,9.0,993
host_candidates,9049,6.408884959664051,13.4533657878704,0.0,0.0,1.0,31.0,179.0,4604
positive_rule_count,9049,0.009282793678859542,0.17754722081782745,0.0,0.0,0.0,0.0,14.0,63
